Company,Amount ($M),Date,HQ,Sector,Series,Source
https://www.simpleenergy.in/,$10.00,25/09/2025,Bengaluru,EV,,https://inc42.com/buzz/exclusive-ev-startup-simple-energy-raises-10-mn-to-expand-store-network/
https://samaaro.com/,$0.50,25/09/2025,Bengaluru,Event Marketing,Pre-Series A,https://entrackr.com/snippets/event-marketing-platform-samaaro-raises-500k-in-pre-series-a-round-10499926
https://www.onfinance.ai/,$4.20,22/09/2025,Bengaluru,Fintech - Gen AI,Pre-Series A,https://entrackr.com/snippets/onfinance-ai-raises-42-mn-led-by-peak-xvs-surge-10487159
https://www.paar-autonomy.com/,$0.39,23/09/2025,Bengaluru,Robotics,Pre-Seed,https://entrackr.com/snippets/paar-autonomy-raises-rs-35-cr-led-by-venture-catalysts-10492645
carbonlites,,22/09/2025,Bengaluru,Climate-Tech,Unknown,https://entrackr.com/snippets/carbon-masters-raises-funds-led-by-schneider-electric-10486946,
https://zealthix.com/,$1.10,23/09/2025,Gurugram,SaaS-based Healthcare,Seed,https://entrackr.com/snippets/zealthix-raises-11-mn-in-seed-round-led-by-unicorn-india-ventures-10492908
gabit,,23/09/2025,Gurugram,Health-tech,Unknown,https://inc42.com/buzz/ranbir-kapoor-badshah-back-smart-ring-startup-gabit/,
https://www.at-people.com/,$0.79,22/09/2025,Bengaluru,HR-tech,Seed,https://entrackr.com/snippets/hr-tech-startup-all-things-people-raises-seed-funding-round-10486638
https://bizup.app/,$0.90,23/09/2025,Gurugram,B2B Fashion Wholesale,Seed,https://entrackr.com/snippets/navo-raises-rs-8-cr-in-seed-round-led-by-indiaquotient-10494174
https://chakr.in/,$23.00,22/09/2025,New Delhi,Cleantech,Series C,https://entrackr.com/news/cleantech-startup-chakr-innovation-raises-23-mn-led-by-iron-pillar-10490485
https://cosmoserv.space/,$3.17,25/09/2025,Hyderabad,Spacetech,Pre-Seed,https://entrackr.com/snippets/cosmoserve-space-raises-317-mn-in-pre-seed-round-10500126
https://grest.in/,$1.80,23/09/2025,Gurugram,Consumer Electronics Re-commerce,,https://entrackr.com/snippets/electronics-re-commerce-startup-grest-raises-rs-16-cr-led-by-equentis-10494148
https://www.recove.in/,$0.60,25/09/2025,Bengaluru,B2B raw material procurement,Pre-Seed,https://entrackr.com/snippets/recove-raises-rs-53-cr-in-pre-seed-round-led-by-momentum-capital-10499569
https://bharatintelligence.ai/,$0.79,25/09/2025,Mumbai,Agritech,Pre-Seed,https://entrackr.com/snippets/agritech-startup-bharat-intelligence-raises-funding-led-by-sahyadri-farms-10500153
https://gullak.money/,$7.50,24/09/2025,Bengaluru,Fintech - Savings and Investment,,https://entrackr.com/news/gold-savings-app-gullak-raises-75-mn-led-by-chiratae-10495967
https://xbattery.energy/,$2.30,24/09/2025,Hyderabad,EV Battery Tech,Seed,https://entrackr.com/snippets/deep-tech-startup-xbattery-raises-23-mn-in-seed-round-10496834
https://www.vyomic.space/,$1.60,22/09/2025,Bengaluru,Spacetech,Pre-Seed,https://entrackr.com/snippets/deep-tech-startup-vyomic-bags-16-mn-led-by-speciale-invest-10487621
https://ptal.in/,$3.00,24/09/2025,Amritsar,Kitchenware,,https://entrackr.com/snippets/kitchenware-brand-p-tal-raises-3-mn-led-by-vc-grid-and-rainmatter-10495972
https://www.rocket.new/,$15.00,23/09/2025,Surat,AI-powered app building,Seed,https://entrackr.com/snippets/rocket-raises-15-mn-in-seed-round-led-by-salesforce-ventures-10492642
https://www.distil.market/,$7.70,23/09/2025,Mumbai,Specialty Chemicals,Series A,https://entrackr.com/snippets/distil-raises-77-mn-in-series-a-led-by-jungle-and-ce-ventures-10492413
https://handpickd.farm/,$15.00,25/09/2025,Gurugram,Agritech,Series A,https://entrackr.com/news/handpickd-raises-15-mn-from-bertelsmann-and-titan-capital-winners-fund-10499839
https://oolka.in/,$7.00,24/09/2025,Bengaluru,Fintech,Seed,https://entrackr.com/snippets/oolka-raises-7-mn-in-seed-round-led-by-lightspeed-and-z47-10497497
https://akashalabdhi.space/,$1.20,25/09/2025,Roorkee,Spacetech,Pre-Seed,https://entrackr.com/snippets/space-tech-startup-akashalabdhi-raises-12-mn-in-pre-seed-round-10501032
https://www.gaadimech.com/,$0.17,26/09/2025,Jaipur,Car servicing,Pre-Seed,https://entrackr.com/snippets/car-servicing-startup-gaadimech-raises-pre-seed-round-led-by-ajvc-10504385
https://www.curefoods.in/,$18.00,26/09/2025,Bengaluru,Food tech - Cloud Kitchen,,https://entrackr.com/news/curefoods-raises-rs-160-cr-in-pre-ipo-placement-from-binny-bansals-3state-ventures-10503307
https://www.vedantu.com/,$11.00,26/09/2025,Bengaluru,Edtech,,https://entrackr.com/news/vedantu-raises-11-mn-from-internal-investors-in-ongoing-round-10503228
https://www.plazza.in/,$1.40,27/09/2025,Bengaluru,Quick Commerce - Medicine,,https://entrackr.com/snippets/quick-medicine-delivery-startup-plazza-raises-14-mn-led-by-all-in-capital-10507362
https://www.kisankonnect.in/,$8.00,25/09/2025,Mumbai,Agritech,Pre-Series B,https://entrackr.com/snippets/kisankonnect-raises-rs-72-cr-led-by-bajaj-finserv-ventures-10502036
